user_id,num_unique_apps,num_sessions,avg_session_duration,total_usage_minutes,most_frequent_time,morning_ratio,afternoon_ratio,evening_ratio,night_ratio,most_frequent_app_category,browser_search_ratio,social_media_ratio,email_ratio,entertainment_ratio,navigation_transport_ratio,productivity_ratio,other_ratio,total_events,events_per_session,app_diversity,events_per_minute,kmeans_cluster,dbscan_cluster,agg_cluster
0,19,241,3.8247208931419463,799.3666666666668,Morning,0.636500107227107,0.15279862749303025,0.05125455715204804,0.15944670812781472,Other,0.07816856101222389,0.01415397812567017,0.009757666738151404,0.0003216813210379584,0.004932446922582029,0.0001072271070126528,0.8925584387733219,9326,38.697095435684645,0.7968831500144367,11.66673616613152,1,-1,0
1,18,88,5.725213675213675,446.56666666666666,Morning,0.3245660178853235,0.1988427143608627,0.24986849026827984,0.22672277748553393,Other,0.2325092056812204,0.22777485533929512,0.0,0.08627038400841662,0.0,0.0,0.45344555497106787,1901,21.602272727272727,2.4260536673966584,4.256923191759349,1,-1,0
2,16,62,3.2136612021857918,196.0333333333333,Night,0.18487394957983194,0.13109243697478992,0.1361344537815126,0.5478991596638656,Browser/Search,0.3310924369747899,0.23697478991596638,0.2042016806722689,0.008403361344537815,0.0033613445378151263,0.0,0.21596638655462186,1190,19.193548387096776,2.0043808512917973,6.070396191123959,1,-1,0
3,15,72,2.9838383838383837,196.93333333333334,Morning,0.44325481798715205,0.05246252676659529,0.19914346895074947,0.30513918629550324,Other,0.3511777301927195,0.0,0.02569593147751606,0.021413276231263382,0.008565310492505354,0.01284796573875803,0.5802997858672377,934,12.972222222222221,2.0009749387170297,4.7427217332430605,1,-1,0
4,8,45,1.9120155038759687,82.21666666666665,Evening,0.07128712871287128,0.2594059405940594,0.3891089108910891,0.2801980198019802,Browser/Search,0.5089108910891089,0.0,0.17425742574257425,0.0,0.020792079207920793,0.0,0.296039603960396,1010,22.444444444444443,1.8085000072621487,12.284613825258464,1,-1,0
5,32,1472,8.485194773175543,11471.983333333334,Morning,0.32895081161236095,0.06140023947917245,0.2852736168491836,0.324375332059283,Social Media,0.02969700333843482,0.8440292767253206,0.008802049053581482,0.02438405481059735,0.0008643453575138573,0.01017389994211265,0.08204937077243928,126107,85.67051630434783,0.9229840145741127,10.992606625706976,0,-1,1
6,23,896,7.8504608294930875,6814.2,Night,0.12882029697182276,0.09507775049690168,0.3575353677072372,0.41856658482403836,Other,0.09575587513153279,0.12075295218052146,0.06358003039869052,0.01533964690751783,0.002057757511984099,0.03500526131182041,0.6675084765579329,42765,47.728794642857146,2.1770897339144333,6.27586510522145,0,-1,1
7,22,61,9.909722222222225,594.5833333333335,Evening,0.1185786531807293,0.12057492680330051,0.5330050572265105,0.22784136278945968,Browser/Search,0.5291455948895395,0.13800904977375567,0.03752994410433857,0.025951557093425604,0.0023955283470854403,0.004258717061485228,0.26270960873036997,7514,123.18032786885246,2.448707595135409,12.637421163279605,1,-1,0
8,11,9,10.818518518518518,97.36666666666666,Night,0.03910614525139665,0.2569832402234637,0.0,0.7039106145251397,Other,0.13966480446927373,0.0446927374301676,0.0,0.0223463687150838,0.0,0.0335195530726257,0.7597765363128491,358,39.77777777777778,1.3951342759940952,3.6768230058199247,1,-1,0
9,20,271,3.912792127921279,1060.3666666666666,Afternoon,0.10688702126459473,0.39240791922838286,0.32105589711771676,0.17964916238930564,Other,0.25776975576738675,0.0,0.0631169270686446,0.017429071013593547,0.006712166506853179,0.011506571154605448,0.6434655084889165,17729,65.42066420664207,2.0748440786572795,16.719688158184276,1,-1,0
10,7,110,3.1912280701754385,242.53333333333333,Afternoon,0.017475728155339806,0.42718446601941745,0.2796116504854369,0.2757281553398058,Browser/Search,0.6038834951456311,0.0,0.011650485436893204,0.0,0.003883495145631068,0.0,0.38058252427184464,515,4.681818181818182,1.3265755266069716,2.123419461242441,1,-1,0
11,17,439,3.351302681992337,1457.8166666666666,Afternoon,0.08508409648650267,0.32438498832824564,0.28604776441012747,0.3044831507751242,Browser/Search,0.427096426647513,0.0,0.1833961812413958,0.011462261327587238,0.021248578440174776,0.024361046268031365,0.33243550607529776,33414,76.1138952164009,2.0155611221934677,22.920577576055518,1,-1,0
12,20,125,4.281969696969697,471.0166666666667,Morning,0.29940878378378377,0.20734797297297297,0.26942567567567566,0.22381756756756757,Social Media,0.15836148648648649,0.328125,0.03125,0.07094594594594594,0.0021114864864864866,0.08994932432432433,0.31925675675675674,2368,18.944,2.4562921968082603,5.027422950355613,1,-1,0
13,20,76,8.344736842105265,634.2000000000002,Night,0.0925319172974805,0.19743531804315897,0.2566376680601062,0.4533950965992543,Social Media,0.10659812450570556,0.6638232968026212,0.04135125974466162,0.005310134448084963,0.0,0.009038526720144616,0.17387865777878206,17702,232.92105263157896,1.637618037913934,27.912330495111945,0,-1,1
14,8,22,2.652380952380952,55.69999999999999,Afternoon,0.03278688524590164,0.6994535519125683,0.08743169398907104,0.18032786885245902,Browser/Search,0.7650273224043715,0.0,0.0,0.11475409836065574,0.0,0.0,0.12021857923497267,366,16.636363636363637,1.518571401789728,6.570915619389589,1,-1,0
15,19,176,5.117652859960552,864.8833333333333,Night,0.10260115606936417,0.21965317919075145,0.285645472061657,0.3921001926782274,Other,0.21796724470134876,0.07129094412331406,0.15847784200385356,0.07827552986512525,0.005780346820809248,0.0,0.4682080924855491,4152,23.59090909090909,2.494655221309184,4.800647486173473,1,-1,0
16,20,93,5.402329749103942,502.41666666666663,Night,0.2070196311719215,0.13355145746579417,0.19303985722784056,0.46638905413444376,Other,0.2575847709696609,0.15734681737061273,0.06900654372397383,0.0,0.006543723973825104,0.003569303985722784,0.5059488399762047,3362,36.1505376344086,1.9369039908479126,6.691656991209157,1,-1,0
17,14,50,5.2214285714285715,219.3,Evening,0.1396103896103896,0.11038961038961038,0.4659090909090909,0.2840909090909091,Other,0.09902597402597403,0.02922077922077922,0.011363636363636364,0.0698051948051948,0.00487012987012987,0.0,0.7857142857142857,616,12.32,1.7370894935821273,2.8089375284997717,1,-1,0
18,21,528,5.404531051964513,2842.7833333333338,Night,0.21340638683203045,0.19323261731734714,0.22514385273148255,0.3682171431191399,Social Media,0.26361156323789003,0.4442814240847298,0.06467068613741088,0.007977808853533849,0.0017652048325347883,0.0,0.21769331285390064,43621,82.6155303030303,2.0413380374944983,15.344468742488287,0,-1,0
19,17,29,6.232183908045979,180.73333333333338,Evening,0.4116798846431146,0.058399423215573176,0.441240086517664,0.08868060562364816,Other,0.09516943042537851,0.2999279019466474,0.09949531362653208,0.08868060562364816,0.004325883201153569,0.004325883201153569,0.40807498197548664,1387,47.827586206896555,2.3935289198662355,7.674289929915159,1,-1,0
20,11,47,3.8468750000000003,123.10000000000001,Evening,0.0,0.31225296442687744,0.5177865612648221,0.16996047430830039,Browser/Search,0.6640316205533597,0.0,0.13438735177865613,0.043478260869565216,0.0,0.015810276679841896,0.1422924901185771,253,5.382978723404255,1.83919404461079,2.0552396425670185,1,-1,0
21,19,346,2.808494208494209,727.4000000000001,Evening,0.0724450194049159,0.22897800776196636,0.44156964208710653,0.25700733074601123,Other,0.14661492022423459,0.045278137128072445,0.20482966796032773,0.14273393704182838,0.017248814144027597,0.013799051315222079,0.4294954721862872,2319,6.702312138728324,2.2298578930432833,3.188067088259554,1,-1,0
22,27,146,6.666791979949875,886.6833333333334,Night,0.15341020128981825,0.22786789134258353,0.20754348250928278,0.4111784248583154,Social Media,0.17393003713113153,0.5266757865937073,0.11588821575141685,0.009380496384600352,0.005081102208325191,0.0027359781121751026,0.16630838381864374,5117,35.04794520547945,2.2519505263579984,5.770944155185052,1,-1,0
23,14,63,3.2672316384180786,192.76666666666665,Afternoon,0.2368951612903226,0.38205645161290325,0.375,0.006048387096774193,Other,0.21774193548387097,0.3125,0.10887096774193548,0.0,0.0,0.010080645161290322,0.35080645161290325,992,15.746031746031745,2.2362385206283615,5.146117931869273,1,-1,0
24,8,49,1.9702380952380953,82.75,Morning,0.5047619047619047,0.10238095238095238,0.02142857142857143,0.37142857142857144,Browser/Search,0.8785714285714286,0.0,0.01904761904761905,0.03333333333333333,0.0,0.030952380952380953,0.0380952380952381,420,8.571428571428571,1.4114854342971506,5.075528700906345,1,-1,0
25,22,103,5.238025889967639,539.5166666666668,Night,0.011413467892112693,0.3426443202979516,0.2558418934342524,0.3901003183756833,Browser/Search,0.38072926052742234,0.18129392683366372,0.09190845197332853,0.05027932960893855,0.0,0.0,0.29578903105664683,16647,161.62135922330097,2.464875993732454,30.855395261190566,0,-1,0
26,17,548,2.626976885644769,1439.5833333333335,Morning,0.41579400372973746,0.2584277721991106,0.23665901592311003,0.08911920814804189,Other,0.18254195954669344,0.16600918089226796,0.13021804619136423,0.028259934012336823,0.003658011763018218,0.0,0.4893128675943193,27884,50.88321167883212,2.4021248244534563,19.369493487698985,1,-1,0
27,10,43,1.8933333333333333,75.73333333333333,Morning,0.4642409033877039,0.0,0.35257214554579674,0.18318695106649938,Browser/Search,0.5294855708908407,0.0,0.10664993726474278,0.30363864491844417,0.0,0.0,0.060225846925972396,797,18.53488372093023,1.6600430279663883,10.523767605633802,1,-1,0
28,15,56,4.564197530864197,246.46666666666664,Afternoon,0.06746987951807229,0.42771084337349397,0.22650602409638554,0.2783132530120482,Other,0.24457831325301205,0.18433734939759036,0.07048192771084337,0.0,0.006626506024096385,0.0,0.4939759036144578,1660,29.642857142857142,1.974292913072498,6.735190695158237,1,-1,0
29,11,137,6.030708661417322,765.9,Night,0.35184700026198584,0.13073094052921141,0.061566675399528425,0.4558553838092743,Other,0.4393502750851454,0.058684831019124965,0.005763688760806916,0.0,0.0,0.006025674613570867,0.4901755305213518,3817,27.861313868613138,1.5501896980247847,4.983679331505418,1,-1,0
30,16,56,3.362,168.1,Night,0.10786106032906764,0.3053016453382084,0.14442413162705667,0.4424131627056673,Other,0.20475319926873858,0.0,0.0,0.021937842778793418,0.003656307129798903,0.010968921389396709,0.7586837294332724,547,9.767857142857142,2.22678306391388,3.254015466983938,1,-1,0
31,11,1885,3.449113924050633,5449.6,Morning,0.3636764798587909,0.29376536594591185,0.25852612998802244,0.08403202420727479,Other,0.08226691042047532,0.0,0.00012607955619996217,0.2749164722940175,0.013049234066696086,0.0,0.6296413036626111,15863,8.415384615384616,1.6218610522560144,2.9108558426306517,1,-1,0
32,9,18,4.107407407407408,73.93333333333334,Morning,0.6455696202531646,0.35443037974683544,0.0,0.0,Browser/Search,0.7890295358649789,0.1729957805907173,0.008438818565400843,0.0,0.0,0.0,0.029535864978902954,474,26.333333333333332,1.50727821865086,6.4111812443642915,1,-1,0
33,17,681,3.2364741641337393,2129.6000000000004,Afternoon,0.0444331422230442,0.5099870538191233,0.25517847235065655,0.19040133160717587,Other,0.15905307934159424,0.0,0.027556870723136676,0.05405030515997781,0.021453671167005733,0.000369890882189754,0.7375161827260958,21628,31.759177679882526,2.0797774435947995,10.155897821187075,1,-1,0
34,11,36,4.285858585858587,141.43333333333337,Afternoon,0.02711864406779661,0.6033898305084746,0.16610169491525423,0.2033898305084746,Browser/Search,0.376271186440678,0.16271186440677965,0.08135593220338982,0.061016949152542375,0.0,0.0,0.31864406779661014,295,8.194444444444445,2.2344784371483994,2.0857883572943665,1,-1,0
35,9,28,2.8636363636363638,63.00000000000001,Evening,0.43037974683544306,0.08860759493670886,0.43670886075949367,0.04430379746835443,Browser/Search,0.3987341772151899,0.0,0.21518987341772153,0.0,0.0,0.012658227848101266,0.37341772151898733,158,5.642857142857143,1.8731908586155757,2.5079365079365075,1,-1,0
36,17,355,3.8353211009174313,1254.15,Night,0.11483699268130405,0.18616101131071192,0.2934131736526946,0.4055888223552894,Browser/Search,0.4396540252827678,0.18110445775116435,0.0014637391882900866,0.224750499001996,0.02102461743180306,0.0,0.1320026613439787,7515,21.169014084507044,2.283189270066951,5.99210620739146,1,-1,0
37,17,357,1.6412004662004662,469.3833333333333,Night,0.2692307692307692,0.08461538461538462,0.25870445344129556,0.38744939271255063,Browser/Search,0.35384615384615387,0.11376518218623481,0.1194331983805668,0.07854251012145749,0.0,0.008906882591093117,0.3255060728744939,2470,6.918767507002801,2.346908825372532,5.262223484713987,1,-1,0
38,14,334,2.6207317073170735,644.7,Evening,0.02540106951871658,0.24242424242424243,0.4117647058823529,0.3204099821746881,Browser/Search,0.3480392156862745,0.01871657754010695,0.2945632798573975,0.0,0.0,0.0,0.33868092691622104,2244,6.718562874251497,2.121558892984757,3.4806886924150766,1,-1,0
39,19,204,6.132882882882883,1134.5833333333333,Evening,0.0809608540925267,0.18305160142348753,0.4395017793594306,0.29648576512455516,Social Media,0.364991103202847,0.4793149466192171,0.07317615658362989,0.007562277580071174,0.013122775800711743,0.0,0.061832740213523134,4496,22.03921568627451,2.024741336855372,3.9626882115313995,1,-1,0
40,16,42,10.434920634920635,438.2666666666667,Night,0.1738241308793456,0.10906612133605999,0.3537832310838446,0.36332651670074984,Social Media,0.0624857986821177,0.64235401045217,0.04703476482617587,0.05657805044308112,0.0,0.0,0.19154737559645535,4401,104.78571428571429,1.9577045791139653,10.041831457255855,1,-1,0
41,15,196,4.47781007751938,770.1833333333334,Evening,0.07396694214876033,0.2809917355371901,0.4177685950413223,0.22727272727272727,Social Media,0.09545454545454546,0.5247933884297521,0.01859504132231405,0.22107438016528927,0.0,0.019008264462809916,0.12107438016528925,2420,12.346938775510203,1.5149218088868344,3.142109021661509,1,-1,0
42,11,50,1.9061594202898546,87.68333333333331,Night,0.02527075812274368,0.14620938628158844,0.11010830324909747,0.7184115523465704,Browser/Search,0.6498194945848376,0.0,0.0,0.0,0.007220216606498195,0.0,0.34296028880866425,554,11.08,1.8229166459186827,6.318190458087818,1,-1,0
43,16,90,3.6281481481481483,326.53333333333336,Night,0.022335970218706376,0.09694431518535752,0.4375678610206297,0.44315185357530634,Browser/Search,0.534977508918877,0.060648363579959674,0.025438188304637815,0.0018613308515588647,0.006359547076159454,0.0,0.3707150612688072,6447,71.63333333333334,2.0524084572570827,19.743772968558595,1,-1,0
44,17,68,5.723039215686275,389.1666666666667,Night,0.04190791287565481,0.23628342983181694,0.28508409153570446,0.43672456575682383,Other,0.358974358974359,0.013234077750206782,0.03859939343810312,0.0518334711883099,0.015715467328370553,0.022608216156603255,0.4990350151640474,3627,53.338235294117645,2.034208230223878,9.319914346895075,1,-1,0
45,13,65,3.1239583333333334,199.93333333333334,Night,0.12030769230769231,0.038461538461538464,0.35446153846153844,0.4867692307692308,Other,0.13876923076923076,0.0,0.04030769230769231,0.049076923076923074,0.01123076923076923,0.06676923076923078,0.6938461538461539,6500,100.0,1.525925443832823,32.51083694564855,1,-1,0
46,22,52,5.816666666666666,302.46666666666664,Morning,0.3586261980830671,0.19968051118210864,0.2955271565495208,0.14616613418530353,Other,0.09744408945686901,0.09616613418530351,0.03354632587859425,0.01757188498402556,0.0,0.01597444089456869,0.739297124600639,6260,120.38461538461539,2.0839442894199443,20.69649548159577,1,-1,0
47,14,42,7.627350427350427,297.46666666666664,Night,0.027656477438136828,0.264919941775837,0.07787481804949054,0.6295487627365357,Browser/Search,0.47889374090247455,0.1215429403202329,0.06040756914119359,0.024745269286754003,0.0,0.0,0.314410480349345,1374,32.714285714285715,2.185636924806091,4.6190049305244285,1,-1,0
48,16,47,5.271985815602837,247.78333333333333,Morning,0.35006435006435005,0.3492063492063492,0.28442728442728443,0.016302016302016303,Social Media,0.06349206349206349,0.6731016731016731,0.005148005148005148,0.018876018876018877,0.002574002574002574,0.0,0.23680823680823682,2331,49.59574468085106,1.5433071841787567,9.407412389856729,1,-1,0
49,16,80,4.702350427350427,366.7833333333333,Night,0.0021586616297895305,0.22396114409066378,0.3475445223961144,0.4263356718834323,Other,0.07285483000539665,0.05558553696708041,0.04263356718834323,0.02050728548300054,0.0,0.026983270372369132,0.7814355099838101,1853,23.1625,1.738787686729788,5.052028899895488,1,-1,0
50,21,673,3.321758569299553,2228.9,Night,0.10069494454846609,0.2588938499207835,0.26362883479763793,0.3767823707331125,Other,0.19146982572375054,0.0032586778049834364,0.0,0.0020704306495751114,0.011828460319746508,0.002610542992942532,0.7887620625090018,55544,82.53194650817237,1.8017775074391422,24.91991565346135,0,-1,0
51,7,16,3.6410256410256414,47.333333333333336,Night,0.0,0.3586206896551724,0.2517241379310345,0.3896551724137931,Browser/Search,0.8241379310344827,0.0,0.0,0.07586206896551724,0.0034482758620689655,0.0,0.09655172413793103,290,18.125,1.4643543878097471,6.126760563380281,1,-1,0
52,15,67,4.275988700564972,252.28333333333333,Night,0.364476386036961,0.09342915811088295,0.16529774127310062,0.37679671457905545,Other,0.25667351129363447,0.21252566735112938,0.055441478439425054,0.01642710472279261,0.0,0.02053388090349076,0.4383983572895277,974,14.537313432835822,2.1124136963928763,3.860738587566889,1,-1,0
53,6,8,2.052777777777778,12.316666666666668,Afternoon,0.2857142857142857,0.3877551020408163,0.10204081632653061,0.22448979591836735,Browser/Search,0.8775510204081632,0.0,0.04081632653061224,0.0,0.0,0.0,0.08163265306122448,49,6.125,1.3718085181932884,3.978349120433017,1,-1,0
54,23,210,5.412478632478633,1055.4333333333334,Night,0.07877615614559522,0.3583611746087568,0.20327061719711623,0.35959205204853173,Other,0.11939511165816775,0.2957622648144892,0.046949182345700724,0.0019342359767891683,0.012836293300509935,0.0036926323193247758,0.5194302795850184,5687,27.080952380952382,2.3725435375971253,5.388308119887566,1,-1,0
55,24,79,6.952864583333334,444.98333333333335,Evening,0.10299488677867057,0.1212563915266618,0.4127100073046019,0.36303871439006574,Other,0.2717311906501096,0.25712198685171656,0.0679327976625274,0.020452885317750184,0.0014609203798392988,0.0,0.38130021913805695,1369,17.329113924050635,2.4481733430106605,3.0765197198396943,1,-1,0
56,6,18,5.045370370370371,90.81666666666668,Afternoon,0.0,0.7696584590945195,0.23034154090548054,0.0,Browser/Search,0.9344718030182685,0.0,0.028991262907069104,0.0,0.0015885623510722795,0.0,0.03494837172359015,2518,139.88888888888889,0.542207479547341,27.726188291429615,1,-1,0
57,13,42,5.997685185185185,215.91666666666666,Night,0.042440318302387266,0.22944297082228116,0.2427055702917772,0.4854111405835544,Other,0.27984084880636606,0.0,0.2718832891246684,0.029177718832891247,0.03050397877984085,0.0,0.3885941644562334,754,17.952380952380953,2.169460891874163,3.4920879969123892,1,-1,0
58,16,195,2.2289661319073084,416.81666666666666,Evening,0.13254172015404364,0.2718228498074454,0.3305519897304236,0.2650834403080873,Other,0.13157894736842105,0.1261232349165597,0.0038510911424903724,0.022464698331193838,0.0,0.0,0.7159820282413351,3116,15.97948717948718,2.131054514765645,7.475708744851853,1,-1,0
59,17,38,15.467105263157896,587.75,Night,0.0005359056806002144,0.29689174705251875,0.27384780278670956,0.4287245444801715,Social Media,0.14161307609860666,0.4439978563772776,0.08386923901393355,0.018488745980707395,0.0,0.004287245444801715,0.3077438370846731,14928,392.8421052631579,1.9739121490604745,25.398553806890686,0,-1,1
60,20,245,6.038226299694189,1316.3333333333333,Night,0.2007168458781362,0.0014336917562724014,0.06541218637992832,0.7324372759856631,Other,0.11254480286738351,0.12616487455197134,0.013261648745519713,0.023297491039426525,0.0,0.0,0.7247311827956989,5580,22.775510204081634,1.7114577859844158,4.239047860217777,1,-1,0
61,22,345,9.840545808966862,3365.4666666666667,Night,0.06015262262676412,0.25040224336873074,0.28832804670620144,0.4011170872983037,Other,0.09952650209166551,0.35882407024318486,0.009653840849537994,0.017491840205948603,0.0013561347860065278,0.00045970670712085687,0.5126879051165356,43506,126.10434782608695,1.7348735305227685,12.927181965849213,0,-1,1
62,10,59,4.722955974842768,250.3166666666667,Evening,0.004441624365482234,0.0,0.7937817258883249,0.2017766497461929,Browser/Search,0.7804568527918782,0.0,0.060279187817258884,0.02728426395939086,0.0025380710659898475,0.0,0.12944162436548223,1576,26.71186440677966,1.44805893486811,6.296025034955722,1,-1,0
63,16,75,2.7472972972972975,203.3,Evening,0.2857142857142857,0.3091060985797828,0.341687552213868,0.06349206349206349,Other,0.2673350041771094,0.08187134502923976,0.050960735171261484,0.0,0.013366750208855471,0.002506265664160401,0.5839598997493735,1197,15.96,2.271567210476647,5.887850467289719,1,-1,0
64,23,511,6.9573602264685075,3276.916666666667,Night,0.07108279545960383,0.21113398620075674,0.3001891831738259,0.4175940351658135,Other,0.09322835521922991,0.08886044958824839,0.029601602492766527,0.0015301580235922547,0.003171600267082128,0.002949031827286891,0.7806588025817939,35944,70.34050880626224,1.7305505702401065,10.968847748137222,0,-1,0
65,2,3,6.675,13.35,Night,0.0,0.0,0.0,1.0,Other,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.989247311827957,186,62.0,0.05943229845313002,13.932584269662922,1,-1,0
66,13,25,4.7620000000000005,119.05000000000001,Evening,0.0,0.1449814126394052,0.5092936802973977,0.34572490706319703,Browser/Search,0.5625774473358116,0.05947955390334572,0.02973977695167286,0.07434944237918216,0.0024783147459727386,0.0,0.27137546468401486,807,32.28,2.1658841475997064,6.778664426711465,1,-1,0
67,26,580,5.280340264650284,2793.3,Night,0.10307697027333804,0.2137620026382796,0.22992913458293707,0.45323189250544527,Social Media,0.14940025155689174,0.5972021965211523,0.04331686965058134,0.03233426388931497,0.003650642697180722,0.002822345614627113,0.17127343007025186,32597,56.20172413793104,2.261080371500424,11.669709662406472,0,-1,0
68,25,361,9.15468895078923,3286.5333333333338,Morning,0.4592793367346939,0.2738201530612245,0.19174904336734694,0.0751514668367347,Other,0.08846460459183673,0.022433035714285714,0.01881377551020408,0.0016262755102040816,0.006640625,0.0006377551020408163,0.8613839285714285,125440,347.4792243767313,1.5568098650776632,38.167876992981455,0,-1,1
69,17,43,4.43953488372093,190.9,Night,0.20206332266097474,0.007114905727499111,0.2586268231945927,0.5321949484169335,Other,0.07541800071149057,0.0,0.015652792600498042,0.05407328352899324,0.06545713269299182,0.0,0.7893987904660263,2811,65.37209302325581,2.045579212686252,14.724986904138293,1,-1,0
70,13,89,3.2224899598393577,267.4666666666667,Evening,0.26031584309730005,0.16097809475292918,0.35914416709118696,0.2195618950585838,Social Media,0.15944982170147734,0.7096281202241467,0.043301069791136015,0.03616912888436067,0.0010188487009679063,0.0,0.05043301069791136,1963,22.0561797752809,1.8553272932986808,7.339232303090727,1,-1,0
